hostname,asn,rov_strict,rov_loose
akane.maru.co.jp,7257,NO,NO
alias.rpki-measurement.site,4538,NO,NO
ca.nat.moe,20473,YES,YES
ca.rg.net,4128,YES,YES
chloe.sobornost.net,60131,NO,NO
cloudie.rpki.app,61138,YES,YES
krill.47272.net,16509,YES,YES
krill.accuristechnologies.ca,63949,YES,YES
krill.byhill.de,207252,NO,NO
krill.ca-bc-01.ssmidge.xyz,60900,YES,YES
krill.ipgua.com,150315,NO,NO
krill.peering.ee.columbia.edu,14618,YES,YES
krill.rg.net,4128,YES,YES
krill.rpki-measurement.site,20473,YES,YES
krill.signalx.cloud,,,
krill.starlamp.su,214675,NO,NO
krill.sy5.nsw.au.infininet.com.au,24322,NO,NO
magellan.ipxo.com,13335,YES,YES
oto.wakuwaku.ne.jp,,,
pub.krill.ausra.cloud,400818,NO,NO
repo.kagl.me,970,NO,NO
repo.rpki.space,13335,YES,YES
repodepot.wildtky.com,54281,NO,NO
rki.plasmanodes.com,202673,NO,NO
rov-measurements.nlnetlabs.net,14061,YES,YES
rpki-01.pdxnet.uk,24940,YES,YES
rpki-pp.com,20473,YES,YES
rpki-publication.haruue.net,13335,YES,YES
rpki-repo.canops.org,32591,NO,NO
rpki-repo.nex3.com.br,265356,NO,NO
rpki-repo.registro.br,22548,NO,NO
rpki-repository.nic.ad.jp,,,
rpki-rps.cnnic.cn,24151,NO,NO
rpki-rrdp.idnic.net,63515,NO,NO
rpki-rrdp.mnihyc.com,13335,YES,YES
rpki-rrdp.us-east-2.amazonaws.com,16509,YES,YES
rpki-rrdp.warpnet.xyz,16276,YES,YES
rpki-rsync.warpnet.xyz,,,
rpki.admin.freerangecloud.com,53356,NO,YES
rpki.apernet.io,20473,YES,YES
rpki.as207960.net,207960,NO,NO
rpki.athene-center.net,212795,NO,NO
rpki.axivora.net,134351,NO,NO
rpki.blw.moe,6233,YES,YES
rpki.cc,63949,YES,YES
rpki.cernet.edu.cn,4538,NO,NO
rpki.cernet.net,4538,NO,NO
rpki.fengrui.link,13335,YES,YES
rpki.folf.systems,63949,YES,YES
rpki.gns.net.br,31898,YES,YES
rpki.gxt.network,36352,YES,YES
rpki.komorebi.network,16276,YES,YES
rpki.leitecastro.com,200454,NO,NO
rpki.luys.cloud,45102,NO,NO
rpki.multacom.com,35916,NO,NO
rpki.nellicus.net,61961,NO,NO
rpki.owl.net,213230,YES,YES
rpki.pudu.be,47689,NO,NO
rpki.qs.nu,24940,YES,YES
rpki.rand.apnic.net,4608,NO,NO
rpki.roa.net,210429,NO,NO
rpki.ruinet.work,53808,NO,NO
rpki.sailx.co,396097,YES,YES
rpki.sunoaki.net,16276,YES,YES
rpki.tools.westconnect.ca,53356,NO,YES
rpki.xindi.eu,48112,NO,NO
rpki.zappiehost.com,60781,NO,NO
rrdp-rps.arin.net,393225,NO,NO
rrdp-rps.cnnic.cn,24151,NO,NO
rrdp.afrinic.net,13335,YES,YES
rrdp.apnic.net,13335,YES,YES
rrdp.arin.net,393225,NO,NO
rrdp.as214749.net,214915,NO,NO
rrdp.krill.nlnetlabs.nl,24940,YES,YES
rrdp.lacnic.net,63949,YES,YES
rrdp.paas.rpki.ripe.net,20940,YES,YES
rrdp.ripe.net,20940,YES,YES
rrdp.rp.ki,14618,YES,YES
rrdp.rpki.tianhai.link,132203,NO,NO
rrdp.sub.apnic.net,13335,YES,YES
rrdp.twnic.tw,16509,YES,YES
rsync.rp.ki,14618,YES,YES
sakuya.nat.moe,46997,NO,YES
